layer,pair_id,language,pc1,pc2
2,31,French,-0.869420051574707,-3.053422451019287
2,32,English,3.485114097595215,1.771811604499817
2,32,French,-1.6179076433181763,2.79540753364563
2,33,English,4.003143787384033,-1.8576070070266724
2,33,French,-3.1455295085906982,-2.3298041820526123
2,34,English,3.5094263553619385,-0.6923656463623047
2,34,French,-5.220595836639404,-2.2661173343658447
2,35,English,3.0274908542633057,-1.0211745500564575
2,35,French,-3.299013376235962,0.21134482324123383
2,36,English,3.4282233715057373,2.358527898788452
2,36,French,-0.9327812790870667,3.4175825119018555
2,37,English,3.700700044631958,0.11177282780408859
2,37,French,-4.567620754241943,1.5090363025665283
2,38,English,3.9523580074310303,1.0997380018234253
2,38,French,-4.515985488891602,4.410959720611572
2,39,English,3.827432155609131,-1.8417607545852661
2,39,French,-5.070143699645996,-0.32869604229927063
2,40,English,4.043350696563721,-1.99078369140625
2,40,French,-6.286852836608887,-5.728760719299316
2,41,English,4.056778907775879,-2.938857316970825
2,41,French,-3.944885015487671,-3.3055057525634766
2,42,English,3.443574905395508,-3.2983651161193848
2,42,French,-2.834825277328491,-4.116610527038574
2,43,English,4.044882774353027,-0.22707320749759674
2,43,French,-4.874917984008789,-0.05445576831698418
2,44,English,3.8992791175842285,-2.4907026290893555
2,44,French,-6.029244422912598,-3.462190628051758
2,45,English,3.9679269790649414,-3.355179786682129
2,45,French,-4.631062984466553,-6.5724921226501465
2,46,English,3.3825597763061523,1.2091618776321411
2,46,French,-4.1737213134765625,1.9234644174575806
2,47,English,2.8801116943359375,0.6343153715133667
2,47,French,-4.938030242919922,1.0725663900375366
2,48,English,3.5782065391540527,1.8654135465621948
2,48,French,-4.136751174926758,2.099207639694214
2,49,English,3.638805866241455,-0.14684291183948517
2,49,French,-2.2486870288848877,2.432374954223633
2,50,English,3.8626787662506104,1.514708161354065
2,50,French,-3.9981279373168945,2.8046772480010986
2,51,English,3.7882473468780518,-1.5811140537261963
2,51,French,-0.42119479179382324,-2.8149044513702393
2,52,English,4.338887691497803,-0.12297632545232773
2,52,French,-4.783198833465576,-2.7430615425109863
2,53,English,3.4541590213775635,-0.011856102384626865
2,53,French,-4.3210039138793945,3.478926181793213
2,54,English,4.033656597137451,1.089457392692566
2,54,French,-4.8860297203063965,2.8714022636413574
2,55,English,3.3390724658966064,2.071010112762451
2,55,French,-3.209028959274292,3.5189270973205566
2,56,English,3.970703125,1.599428415298462
2,56,French,-4.297051429748535,2.189750909805298
2,57,English,4.048002243041992,-3.652418613433838
2,57,French,-4.920083522796631,-6.311460018157959
2,58,English,3.212406873703003,-1.6787749528884888
2,58,French,-3.322408676147461,-0.10550951957702637
2,59,English,4.142733097076416,-1.100468397140503
2,59,French,-6.155807018280029,-4.291842460632324
2,60,English,3.4791719913482666,1.0005749464035034
2,60,French,-3.7662477493286133,3.3055529594421387
2,61,English,2.9506373405456543,-0.7859266400337219
2,61,French,-3.17628812789917,-0.34877508878707886
2,62,English,4.000349998474121,0.739604115486145
2,62,French,-3.8167812824249268,1.6639063358306885
2,63,English,4.17783260345459,-0.411207914352417
2,63,French,-6.4113688468933105,-2.2431445121765137
2,64,English,2.7706174850463867,0.28023815155029297
2,64,French,-4.140192031860352,0.8364518284797668
2,65,English,3.3521668910980225,-1.2685896158218384
2,65,French,-2.716864824295044,-2.0217881202697754
2,66,English,3.5860238075256348,-0.6199104189872742
2,66,French,-2.1320407390594482,-0.6031568050384521
2,67,English,4.301555633544922,-2.8388774394989014
2,67,French,-6.39093542098999,-4.966618537902832
2,68,English,3.5774970054626465,1.7199674844741821
2,68,French,-4.503721714019775,4.159587860107422
2,69,English,4.014196395874023,2.1071724891662598
2,69,French,-3.9262588024139404,3.070639133453369
2,70,English,3.9333245754241943,-1.4986300468444824
2,70,French,-5.182383060455322,-3.0315470695495605
2,71,English,3.135117292404175,1.0780116319656372
2,71,French,0.2676156163215637,2.1094472408294678
2,72,English,3.557358741760254,-2.2459254264831543
2,72,French,-1.5067793130874634,-1.627210021018982
2,73,English,3.591301202774048,-2.393872022628784
2,73,French,-2.4327499866485596,-0.10598135739564896
2,74,English,3.1292500495910645,1.6669282913208008
2,74,French,-3.9745934009552,3.1194071769714355
2,75,English,3.867647647857666,0.2561761736869812
2,75,French,-5.793765068054199,-0.795593798160553
2,76,English,4.089103698730469,-1.2663366794586182
2,76,French,-6.296535968780518,-5.3966803550720215
2,77,English,3.498877763748169,-0.8811424374580383
2,77,French,-8.596471786499023,-5.883491516113281
2,78,English,3.0163042545318604,1.7783294916152954
2,78,French,-1.2268391847610474,2.1518468856811523
2,79,English,3.421841859817505,-3.667879343032837
2,79,French,-1.5437335968017578,-3.6726138591766357
2,80,English,3.313819169998169,2.4284768104553223
2,80,French,-2.9802815914154053,3.9905006885528564
2,81,English,3.7533669471740723,2.31286883354187
2,81,French,-4.166587829589844,4.558730125427246
2,82,English,3.9505350589752197,2.1896047592163086
2,82,French,-4.383869647979736,4.05095911026001
2,83,English,3.6923491954803467,-3.2232306003570557
2,83,French,-4.225313186645508,-1.0703098773956299
2,84,English,3.7954156398773193,1.6568586826324463
2,84,French,-2.913590908050537,2.8607475757598877
2,85,English,0.8625571131706238,-6.632038593292236
2,85,French,-1.6459726095199585,-3.494041919708252
2,86,English,4.029890060424805,-0.2931426763534546
2,86,French,-4.0257182121276855,0.24874117970466614
2,87,English,3.6926229000091553,1.0953503847122192
